Ticker,Date,Price,Momentum_6m,Volatility_30d,Avg_Volume_30d,Treated,Match_ID
LMT,2024-09-17,547.34130859375,0.31296650395457726,0.007193310223460445,857650.0,0,70
SYY,2024-09-17,75.19890594482422,-0.030572870025173837,0.008148784313620623,2663016.6666666665,0,70
AMGN,2024-09-17,319.7517395019531,0.2420322404133206,0.015053459483149994,1865343.3333333333,0,70
RJF,2024-09-17,118.6839828491211,-0.005235572966681645,0.00979987122365107,909870.0,0,70
BF-B,2024-09-17,45.416805267333984,-0.09243794526747551,0.00953538171005302,1647613.3333333333,0,70
J,2024-09-17,118.50178527832031,-0.02827519360809716,0.009895452723444604,810703.0666666667,0,70
CSCO,2024-09-17,48.96348571777344,0.04722449468122214,0.01571428798157254,18399146.666666668,0,70
AXP,2024-09-17,261.88714599609375,0.20445324653259878,0.016025026731252504,2527286.6666666665,0,70
JCI,2024-09-17,71.59757995605469,0.1557176845493644,0.014281622822683087,4043113.3333333335,0,70
DELL,2018-12-28,21.108278274536133,-0.029953007997432057,0.041642624458041455,15260791.8,1,71
HRL,2018-12-28,35.126556396484375,0.14965660932168845,0.014049661910220241,3561923.3333333335,0,71
CNP,2018-12-28,22.85567283630371,0.030705027077719604,0.01214795200457466,5397266.666666667,0,71
LIN,2018-12-28,140.75296020507812,-0.0013849466379292075,0.01933428464538709,2692380.0,0,71
DLR,2018-12-28,83.95177459716797,-0.03305667909998222,0.018366512913834905,1346876.6666666667,0,71
AFL,2018-12-28,38.1315803527832,0.056758355963257845,0.019757530563390406,4117623.3333333335,0,71
GIS,2018-12-28,30.285661697387695,-0.1047511691835753,0.017344245637187974,6996006.666666667,0,71
ISRG,2018-12-28,157.06666564941406,-0.015214844600195843,0.030182576844676654,2496260.0,0,71
PANW,2018-12-28,30.68833351135254,-0.10385941105171692,0.02730405264126642,10984540.0,0,71
CAG,2018-12-28,15.954874992370605,-0.40027201932677203,0.03724718256188253,7964610.0,0,71
AIZ,2018-12-28,77.48162841796875,-0.13827252510935706,0.016717236300711057,475770.0,0,71
DELL,2021-11-02,50.0621337890625,0.0799391016982054,0.015166875427433345,6116842.166666667,1,72
CPRT,2021-11-02,38.50749969482422,0.2569772941774098,0.015092949867877367,2952906.6666666665,0,72
VMC,2021-11-02,188.48171997070312,0.023946699196863763,0.01882288484192236,847416.6666666666,0,72
WSM,2021-11-02,89.56793212890625,0.06778726964624404,0.02169343524609722,1572073.3333333333,0,72
BLDR,2021-11-02,58.20000076293945,0.11923078390268183,0.016026574543005656,1681836.6666666667,0,72
EVRG,2021-11-02,53.70362854003906,0.019845282613465853,0.008734877650254444,1133923.3333333333,0,72
AON,2021-11-02,295.8464050292969,0.1914271717751208,0.015291120450863078,1178866.6666666667,0,72
FITB,2021-11-02,37.65321350097656,0.06432535656096983,0.01922597016167505,4314200.0,0,72
SPG,2021-11-02,127.53666687011719,0.32220847005090314,0.01775837015207235,2030846.6666666667,0,72
T,2021-11-02,14.97797966003418,-0.1819357955899732,0.011504685165408826,58163664.266666666,0,72
